length,no_hashtags,no_men,likes,retweets,sentiment_polarity,time
301,0,0,3396,421,0.0,03
116,0,0,2116,161,0.5,06
298,0,0,5191,440,0.0,05
312,0,0,2222,241,0.0,05
142,0,0,2363,253,-0.25,05
142,0,0,2207,199,0.0,05
142,0,0,1864,183,0.0,05
52,0,0,1758,126,0.0,04
52,0,0,1758,126,0.0,04
128,0,0,5775,517,0.0,04
60,0,0,30592,1565,1.0,21
131,0,0,3617,242,0.055803571428571425,07
28,0,0,1849,117,0.35,07
242,0,0,13664,1332,0.0,07
50,0,0,2645,231,0.0,04
181,0,0,3795,275,0.286328125,04
20,0,1,102,10,0.5,04
31,0,1,35,7,0.2,04
31,0,1,35,7,0.2,04
30,0,2,17,7,0.5,04
70,0,3,21,12,0.0,03
34,0,2,16,5,0.5,03
84,0,0,1749,141,0.5,03
105,0,7,20,11,0.5,03
43,0,1,95,14,0.0,03
36,0,2,14,4,0.0,03
151,0,2,24,7,0.2,03
38,0,2,16,7,0.0,03
28,0,2,17,5,0.5,03
16,0,1,27,6,0.5,03
27,0,2,26,7,0.0,03
17,0,1,23,5,0.5,03
134,0,8,65,14,0.0,03
16,0,1,27,2,0.0,03
18,0,1,23,3,0.6,03
91,0,1,88,11,0.41666666666666663,03
31,0,1,11,4,0.0,19
235,0,0,14694,809,0.0,19
28,0,0,1064,101,0.5,19
142,0,0,3455,258,0.0546875,18
30,0,0,1339,89,0.5,18
142,0,0,4775,332,0.175,18
142,0,0,2372,188,0.6000000000000001,18
55,0,0,1393,107,0.0,18
55,0,0,1393,107,0.0,18
33,0,0,1507,111,0.55,18
128,0,0,3342,280,0.06818181818181818,17
233,0,0,21887,1199,0.875,17
32,0,0,3434,223,0.2,17
142,1,2,4644,298,0.0,20
277,0,1,1178,170,0.0,19
277,0,0,21283,1562,0.0,19
31,0,0,1990,144,0.6000000000000001,18
51,0,0,2754,166,0.375,18
23,0,1,18,5,0.35,18
87,0,0,2136,183,0.5,04
156,0,0,14321,1363,0.0,03
101,0,0,3532,247,0.5,03
82,0,0,2068,160,0.0,03
69,0,0,2065,137,0.9765625,19
141,0,0,5106,349,0.0,19
32,0,0,5654,522,0.2,09
34,0,0,2060,146,0.0,18
34,0,2,36,12,0.0,18
54,0,2,27,11,0.5,18
39,0,0,1871,142,0.2,18
18,0,1,20,4,0.0,18
35,0,1,102,17,0.0,18
35,0,1,102,17,0.0,18
35,0,1,102,17,0.0,18
284,0,0,11706,850,0.0,17
15,0,1,122,14,0.0,17
24,0,1,25,5,0.0,17
64,0,0,3191,300,0.0,17
130,0,7,44,22,0.0,17
33,0,0,2810,139,0.0,17
31,0,0,1996,144,0.0,17
132,0,7,31,16,0.0,17
109,0,7,92,16,0.5,17
21,0,1,36,7,0.0,17
24,0,1,49,11,0.0,17
130,0,7,26,10,0.0,17
33,0,2,27,4,0.0,17
139,0,8,41,22,0.0,17
139,0,8,46,25,0.0,17
48,0,0,1646,118,0.8,17
21,0,1,37,3,0.0,17
29,0,1,42,6,0.85,17
29,0,2,19,6,0.0,17
137,0,8,44,21,0.0,17
18,0,1,49,5,0.0,17
22,0,1,69,9,0.0,17
19,0,1,45,8,0.0,17
19,0,1,45,8,0.0,17
19,0,1,45,8,0.0,17
30,0,1,75,8,0.85,17
141,0,0,11323,688,0.0,21
141,0,0,3686,267,0.0,20
141,0,0,3686,267,0.0,20
142,0,0,21509,1014,0.0,18
